ITEM_NAME,ITEM_TYPE,ITEM_PRESENTATION_TYPE,ITEM_SECTION,ITEM_PARENT_ID,ITEM_STEM,ITEM_MEMBER,SCALE_OPTIONS,SurveyAdminYear2023,QuestionText.2023,SurveyAdminYear2021,QuestionText.2021,SurveyAdminYear2022,QuestionText.2022,SurveyAdminYear2024,QuestionText.2024
PRDV_PREP_CAS,Interval Scale,matrix,Professional Development and Progress to Degree,46,"How well prepared do you feel you are in the following attributes, behaviors, and skillsets?",Using culturally appropriate interpersonal skills,quality1,2023,"How well prepared do you feel you are in the following attributes, behaviors, and skillsets? - Using culturally appropriate interpersonal skills",2021,"How well prepared do you feel you are in the following attributes, behaviors, and skillsets? - Using culturally appropriate interpersonal skills",NA,NA,2024,"How well prepared do you feel you are in the following attributes, behaviors, and skillsets? - Using culturally appropriate interpersonal skills"
PRDV_PREP_PSM,Interval Scale,matrix,Professional Development and Progress to Degree,46,"How well prepared do you feel you are in the following attributes, behaviors, and skillsets?",Personal stress management,quality1,2023,"How well prepared do you feel you are in the following attributes, behaviors, and skillsets? - Managing personal stress",2021,"How well prepared do you feel you are in the following attributes, behaviors, and skillsets? - Personal stress management",NA,NA,2024,"How well prepared do you feel you are in the following attributes, behaviors, and skillsets? - Managing personal stress"
PRGR_DEGR_ONT,Interval Scale,matrix,Professional Development and Progress to Degree,47,Indicate your agreement or disagreement with each item by selecting the appropriate response (about degree progress),I'm on-track to complete my degree program on time,agree3,2023,Indicate your agreement or disagreement with each item by selecting the appropriate response. - I'm on track to complete my degree program on time,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - I'm on-track to complete my degree program on time,NA,NA,NA,NA
PRGR_DEGR_WLP,Interval Scale,matrix,Professional Development and Progress to Degree,47,Indicate your agreement or disagreement with each item by selecting the appropriate response (about degree progress),I'm well prepared for the work required to complete my program,agree3,2023,Indicate your agreement or disagreement with each item by selecting the appropriate response. - I'm well prepared for the work required to complete my program,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - I'm well prepared for the work required to complete my program,NA,NA,NA,NA
PRGR_DEGR_EDW,Interval Scale,matrix,Professional Development and Progress to Degree,47,Indicate your agreement or disagreement with each item by selecting the appropriate response (about degree progress),I'm very engaged with my day-to-day work,agree3,2023,Indicate your agreement or disagreement with each item by selecting the appropriate response. - I'm very engaged with my day-to-day work,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - I'm very engaged with my day-to-day work,NA,NA,NA,NA
PRGR_DEGR_SRN,Interval Scale,matrix,Professional Development and Progress to Degree,47,Indicate your agreement or disagreement with each item by selecting the appropriate response (about degree progress),I have the space and resources I need to succeed academically,agree3,2023,Indicate your agreement or disagreement with each item by selecting the appropriate response. - I have the space and resources I need to succeed academically,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - I have the space and resources I need to succeed academically,2022,"Indicate your agreement or disagreement with the following statement:
""I have the space and resources I need to succeed academically"" -",2024,"Indicate your agreement or disagreement with the following statement:
""I have the space and resources I need to succeed academically"""
PRGR_DEGR_RWR,Interval Scale,matrix,Professional Development and Progress to Degree,47,Indicate your agreement or disagreement with each item by selecting the appropriate response (about degree progress),I have the necessary resources to work and study remotely,agree3,2023,Indicate your agreement or disagreement with each item by selecting the appropriate response. - I have the necessary resources to work and study remotely,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - I have the necessary resources to work and study remotely,NA,NA,NA,NA
RUCMYRACE,Interval Scale,matrix,Program Climate,12,Please indicate how strongly you agree or disagree with the following statements (about respect),Students of my race/ethnicity are respected at this university,agree7,2023,Please indicate how strongly you agree or disagree with the following statements. - Students of my race/ethnicity are respected at this university,NA,NA,NA,NA,2024,Please indicate how strongly you agree or disagree with the following statements. - Students of my race/ethnicity are respected at this university
RUCMYGENDER,Interval Scale,matrix,Program Climate,12,Please indicate how strongly you agree or disagree with the following statements (about respect),Students of my gender identity are respected at this university,agree7,2023,Please indicate how strongly you agree or disagree with the following statements. - Students of my gender identity are respected at this university,NA,NA,NA,NA,2024,Please indicate how strongly you agree or disagree with the following statements. - Students of my gender identity are respected at this university
RUCMYSEX,Interval Scale,matrix,Program Climate,12,Please indicate how strongly you agree or disagree with the following statements (about respect),Students of my sexual orientation are respected at this university,agree7,2023,Please indicate how strongly you agree or disagree with the following statements. - Students of my sexual orientation are respected at this university,NA,NA,NA,NA,2024,Please indicate how strongly you agree or disagree with the following statements. - Students of my sexual orientation are respected at this university
RUCMYRELIGION,Interval Scale,matrix,Program Climate,12,Please indicate how strongly you agree or disagree with the following statements (about respect),Students of my religious beliefs are respected at this university,agree7,2023,Please indicate how strongly you agree or disagree with the following statements. - Students of my religious beliefs are respected at this university,NA,NA,NA,NA,2024,Please indicate how strongly you agree or disagree with the following statements. - Students of my religious beliefs are respected at this university
RUCMYPOLITICS,Interval Scale,matrix,Program Climate,12,Please indicate how strongly you agree or disagree with the following statements (about respect),Students of my political beliefs are respected at this university,agree7,2023,Please indicate how strongly you agree or disagree with the following statements. - Students of my political beliefs are respected at this university,NA,NA,NA,NA,2024,Please indicate how strongly you agree or disagree with the following statements. - Students of my political beliefs are respected at this university
RUCMYSES,Interval Scale,matrix,Program Climate,12,Please indicate how strongly you agree or disagree with the following statements (about respect),Students of my socioeconomic status are respected at this university,agree7,2023,Please indicate how strongly you agree or disagree with the following statements. - Students of my socioeconomic status are respected at this university,NA,NA,NA,NA,2024,Please indicate how strongly you agree or disagree with the following statements. - Students of my socioeconomic status are respected at this university
RUCMYIMMIGRANT2014,Interval Scale,matrix,Program Climate,12,Please indicate how strongly you agree or disagree with the following statements (about respect),Students of my immigration background are respected at this university,agree7,2023,Please indicate how strongly you agree or disagree with the following statements. - Students of my immigration background are respected at this university,NA,NA,NA,NA,2024,Please indicate how strongly you agree or disagree with the following statements. - Students of my immigration background are respected at this university
RUCMYDISABILITY2018,Interval Scale,matrix,Program Climate,12,Please indicate how strongly you agree or disagree with the following statements (about respect),Students with a disability or condition like mine are respected at this university,agree7,2023,Please indicate how strongly you agree or disagree with the following statements. - Students with a disability or condition like mine are respected at this university,NA,NA,NA,NA,2024,Please indicate how strongly you agree or disagree with the following statements. - Students with a disability or condition like mine are respected at this university
RUCAGREEBELONG,Interval Scale,matrix,Program Climate,13,Please select your level of agreement or disagreement with the following statements (about belonging),I feel that I belong at UC Berkeley,agree3,2023,Please select your level of agreement or disagreement with the following statements. - I feel that I belong at [Field-CAMPUS],NA,NA,NA,NA,2024,Please select your level of agreement or disagreement with the following statements. - I feel that I belong at UC Berkeley
RUCAGREEPROG,Interval Scale,matrix,Program Climate,13,Please select your level of agreement or disagreement with the following statements (about belonging),I feel that I belong in my program,agree3,2023,Please select your level of agreement or disagreement with the following statements. - I feel that I belong in my program,NA,NA,NA,NA,2024,Please select your level of agreement or disagreement with the following statements. - I feel that I belong in my program
COMF_CLIM_PROG,Interval Scale,matrix,Program Climate,13,Please select your level of agreement or disagreement with the following statements (about belonging),"Overall, I am comfortable with the cultural climate in my program.",agree3,NA,NA,NA,NA,NA,NA,2024,"Please select your level of agreement or disagreement with the following statements. - Overall, I am comfortable with the cultural climate in my program."
RUCAGREEREENRLL,Interval Scale,matrix,Program Climate,13,Please select your level of agreement or disagreement with the following statements (about belonging),"Knowing what I know now, I would still choose to enroll at UC Berkeley",agree3,2023,"Please select your level of agreement or disagreement with the following statements. - Knowing what I know now, I would still choose to enroll at [Field-CAMPUS]",NA,NA,NA,NA,2024,"Please select your level of agreement or disagreement with the following statements. - Knowing what I know now, I would still choose to enroll at UC Berkeley"
CLIM_INCL_PEER,Interval Scale,matrix,Program Climate,48,"In my graduate program, I feel included by...",my peers,agree3,2023,"In my graduate program, I feel included by... - my peers",2021,"In my graduate program, I feel included by... - my peers",NA,NA,2024,"In my graduate program, I feel included by... - my peers"
CLIM_INCL_FAC,Interval Scale,matrix,Program Climate,48,"In my graduate program, I feel included by...",the faculty,agree3,2023,"In my graduate program, I feel included by... - the faculty",2021,"In my graduate program, I feel included by... - the faculty",NA,NA,2024,"In my graduate program, I feel included by... - the faculty"
CLIM_INCL_ADM,Interval Scale,matrix,Program Climate,48,"In my graduate program, I feel included by...",the administration and staff,agree3,2023,"In my graduate program, I feel included by... - the administration and staff",2021,"In my graduate program, I feel included by... - the administration and staff",NA,NA,2024,"In my graduate program, I feel included by... - the administration and staff"
CLIM_CULT_PEER,Interval Scale,matrix,Program Climate,49,"In my graduate program, my culture is respected by...",my peers,agree3,2023,"In my graduate program, my culture is respected by... - my peers",2021,"In my graduate program, my culture is respected by... - my peers",NA,NA,2024,"In my graduate program, my culture is respected by... - my peers"
CLIM_CULT_FAC,Interval Scale,matrix,Program Climate,49,"In my graduate program, my culture is respected by...",the faculty,agree3,2023,"In my graduate program, my culture is respected by... - the faculty",2021,"In my graduate program, my culture is respected by... - the faculty",NA,NA,2024,"In my graduate program, my culture is respected by... - the faculty"
CLIM_CULT_ADM,Interval Scale,matrix,Program Climate,49,"In my graduate program, my culture is respected by...",the administration and staff,agree3,2023,"In my graduate program, my culture is respected by... - the administration and staff",2021,"In my graduate program, my culture is respected by... - the administration and staff",NA,NA,2024,"In my graduate program, my culture is respected by... - the administration and staff"
CLIM_PROG_CGP,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,There is a strong sense of community in my graduate program,agree3,2023,Please select your level of agreement or disagreement with the following statements. - There is a strong sense of community in my graduate program.,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - There is a strong sense of community in my graduate program.,2022,Indicate your agreement or disagreement with each item by selecting the appropriate response. - There is a strong sense of community in my graduate program,2024,Please select your level of agreement or disagreement with the following statements. - There is a strong sense of community in my graduate program.
CLIM_PROG_CGU,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,There is a strong sense of community among graduate students at the university,agree3,2023,Please select your level of agreement or disagreement with the following statements. - There is a strong sense of community among graduate students at the university.,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - There is a strong sense of community among graduate students at the university.,NA,NA,2024,Please select your level of agreement or disagreement with the following statements. - There is a strong sense of community among graduate students at the university.
CLIM_PROG_GPH,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,My graduate program is hostile toward students when they raise concerns,agree3,2023,Please select your level of agreement or disagreement with the following statements. - My graduate program is hostile toward students when they raise concerns.,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - My graduate program is hostile toward students when they raise concerns.,2022,Indicate your agreement or disagreement with each item by selecting the appropriate response. - My graduate program is hostile toward students when they raise concerns,2024,Please select your level of agreement or disagreement with the following statements. - My graduate program is hostile toward students when they raise concerns.
CLIM_PROG_UHS,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,The university is hostile toward students when they raise concerns,agree3,2023,Please select your level of agreement or disagreement with the following statements. - The university is hostile toward students when they raise concerns.,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - The university is hostile toward students when they raise concerns.,NA,NA,2024,Please select your level of agreement or disagreement with the following statements. - The university is hostile toward students when they raise concerns.
CLIM_PROG_FRI,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,Faculty in my graduate program make thoughtful efforts to understand racial injustice,agree3,2023,Please select your level of agreement or disagreement with the following statements. - Faculty in my graduate program make thoughtful efforts to understand racial injustice.,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - Faculty in my graduate program make thoughtful efforts to understand racial injustice.,NA,NA,2024,Please select your level of agreement or disagreement with the following statements. - Faculty in my graduate program make thoughtful efforts to understand racial injustice.
CLIM_PROG_SRI,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,Students in my graduate program make thoughtful efforts to understand racial injustice,agree3,2023,Please select your level of agreement or disagreement with the following statements. - Students in my graduate program make thoughtful efforts to understand racial injustice.,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - Students in my graduate program make thoughtful efforts to understand racial injustice.,NA,NA,2024,Please select your level of agreement or disagreement with the following statements. - Students in my graduate program make thoughtful efforts to understand racial injustice.
CLIM_PROG_FAI,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,Faculty in my graduate program make thoughtful efforts to advance inclusion in my program,agree3,2023,Please select your level of agreement or disagreement with the following statements. - Faculty in my graduate program make thoughtful efforts to advance inclusion in my program.,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - Faculty in my graduate program make thoughtful efforts to advance inclusion in my program.,2022,Indicate your agreement or disagreement with each item by selecting the appropriate response. - Faculty in my graduate program make thoughtful efforts to advance inclusion in my program,2024,Please select your level of agreement or disagreement with the following statements. - Faculty in my graduate program make thoughtful efforts to advance inclusion in my program.
CLIM_PROG_SAI,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,Students in my graduate program make thoughtful effort to advance inclusion in my program,agree3,2023,Please select your level of agreement or disagreement with the following statements. - Students in my graduate program make thoughtful effort to advance inclusion in my program.,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - Students in my graduate program make thoughtful effort to advance inclusion in my program.,2022,Indicate your agreement or disagreement with each item by selecting the appropriate response. - Students in my graduate program make thoughtful efforts to advance inclusion in my program,2024,Please select your level of agreement or disagreement with the following statements. - Students in my graduate program make thoughtful efforts to advance inclusion in my program.
CLIM_PROG_POL,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,There are departmental policies in place in the event of interpersonal conflicts.,agree3,2023,Please select your level of agreement or disagreement with the following statements. - There are departmental policies in place in the event of interpersonal conflicts.,NA,NA,NA,NA,2024,Please select your level of agreement or disagreement with the following statements. - There are departmental policies in place in the event of interpersonal conflicts.
CLIM_PROG_PAP,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,"My graduate program keeps administrative paperwork to a minimum, freeing me to focus on my academic work",agree3,2023,"Please select your level of agreement or disagreement with the following statements. - My graduate program keeps administrative paperwork to a minimum, freeing me to focus on my academic work.",2021,"Indicate your agreement or disagreement with each item by selecting the appropriate response. - My graduate program keeps administrative paperwork to a minimum, freeing me to focus on my academic work.",2022,"Indicate your agreement or disagreement with each item by selecting the appropriate response. - My graduate program keeps administrative paperwork to a minimum, freeing me to focus on my academic work",2024,"Please select your level of agreement or disagreement with the following statements. - My graduate program keeps administrative paperwork to a minimum, freeing me to focus on my academic work."
CLIM_PROG_TCS,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,There is timely communication between program administrative staff and students,agree3,2023,Please select your level of agreement or disagreement with the following statements. - There is timely communication between program administrative staff and students.,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - There is timely communication between program administrative staff and students.,NA,NA,2024,Please select your level of agreement or disagreement with the following statements. - There is timely communication between program administrative staff and students.
CLIM_PROG_STP,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,There is a strong sense of transparency in my graduate program,agree3,2023,Please select your level of agreement or disagreement with the following statements. - There is a strong sense of transparency in my graduate program.,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - There is a strong sense of transparency in my graduate program.,2022,Indicate your agreement or disagreement with each item by selecting the appropriate response. - There is a strong sense of transparency in my graduate program,2024,Please select your level of agreement or disagreement with the following statements. - There is a strong sense of transparency in my graduate program.
CLIM_PROG_STU,Interval Scale,matrix,Program Climate,50,Please select your level of agreement or disagreement with the following statements.,There is a strong sense of transparency at my university,agree3,2023,Please select your level of agreement or disagreement with the following statements. - There is a strong sense of transparency at my university.,2021,Indicate your agreement or disagreement with each item by selecting the appropriate response. - There is a strong sense of transparency at my university.,NA,NA,2024,Please select your level of agreement or disagreement with the following statements. - There is a strong sense of transparency at my university.
CLIM_BIAS_STD,Multi Select,selectallthatapply,Program Climate,51,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program?","Yes, by another student",NA,2023,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Yes, by another student",2021,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Yes, by another student",2022,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination or harassment by someone in your graduate program? (Select all that apply) - Selected Choice - Yes, by another student",2024,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Yes, by another student"
CLIM_BIAS_FCT,Multi Select,selectallthatapply,Program Climate,51,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program?","Yes, by a faculty member",NA,2023,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Yes, by a faculty member",2021,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Yes, by a faculty member",2022,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination or harassment by someone in your graduate program? (Select all that apply) - Selected Choice - Yes, by a faculty member",2024,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Yes, by a faculty member"
CLIM_BIAS_ADS,Multi Select,selectallthatapply,Program Climate,51,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program?","Yes, by a member of the administration or staff",NA,2023,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Yes, by a member of the administration or staff",2021,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Yes, by a member of the administration or staff",2022,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination or harassment by someone in your graduate program? (Select all that apply) - Selected Choice - Yes, by a member of the administration or staff",2024,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Yes, by a member of the administration or staff"
CLIM_BIAS_GRP,Multi Select,selectallthatapply,Program Climate,51,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program?","Yes, by a member of another group",NA,2023,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Yes, by a member of another group. Please specify:",2021,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Yes, by a member of another group. Please specify:",2022,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination or harassment by someone in your graduate program? (Select all that apply) - Selected Choice - Yes, by a member of another group. Please specify:",2024,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Yes, by a member of another group. Please specify:"
CLIM_BIAS_NOT,Multi Select,selectallthatapply,Program Climate,51,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program?",No,NA,2023,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - No",2021,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - No",2022,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination or harassment by someone in your graduate program? (Select all that apply) - Selected Choice - No",2024,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - No"
CLIM_BIAS_UNS,Multi Select,selectallthatapply,Program Climate,51,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program?",Unsure,NA,2023,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Unsure",2021,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Unsure",2022,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination or harassment by someone in your graduate program? (Select all that apply) - Selected Choice - Unsure",2024,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Selected Choice - Unsure"
CLIM_BIAS_TXT,Open Text,NA,Program Climate,NA,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply)","Yes, by a member of another group. Please specify:",NA,2023,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Yes, by a member of another group. Please specify: - Text",2021,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Yes, by a member of another group. Please specify: - Text",2022,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination or harassment by someone in your graduate program? (Select all that apply) - Yes, by a member of another group. Please specify: - Text",2024,"Over the past 12 months, have you been on the receiving end of a significant instance of bias, discrimination, or harassment by someone in your graduate program? (select all that apply) - Yes, by a member of another group. Please specify: - Text"
CLIM_RPRT_YES,Multi Select,selectallthatapply,Program Climate,18,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply)",Yes,NA,2023,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at [Field-CAMPUS]? (select all that apply) - Yes",NA,NA,NA,NA,2024,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply) - Yes"
CLIM_RPRT_NOUT,Multi Select,selectallthatapply,Program Climate,18,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply)","No, but I reported to an organization outside of UC",NA,2023,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at [Field-CAMPUS]? (select all that apply) - No, but I reported to an organization outside of UC",NA,NA,NA,NA,2024,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply) - No, but I reported to an organization outside of UC"
CLIM_RPRT_NKNO,Multi Select,selectallthatapply,Program Climate,18,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply)","No, I did not know how to report",NA,2023,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at [Field-CAMPUS]? (select all that apply) - No, I did not know how to report",NA,NA,NA,NA,2024,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply) - No, I did not know how to report"
CLIM_RPRT_NSIG,Multi Select,selectallthatapply,Program Climate,18,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply)","No, the incident was not significant, or I did not want to make a big deal of it",NA,2023,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at [Field-CAMPUS]? (select all that apply) - No, the incident was not significant, or I did not want to make a big deal of it",NA,NA,NA,NA,2024,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply) - No, the incident was not significant, or I did not want to make a big deal of it"
CLIM_RPRT_NRET,Multi Select,selectallthatapply,Program Climate,18,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply)","No, I was concerned about retaliation",NA,2023,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at [Field-CAMPUS]? (select all that apply) - No, I was concerned about retaliation",NA,NA,NA,NA,2024,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply) - No, I was concerned about retaliation"
CLIM_RPRT_NSAF,Multi Select,selectallthatapply,Program Climate,18,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply)","No, I feared for my personal safety",NA,2023,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at [Field-CAMPUS]? (select all that apply) - No, I feared for my personal safety",NA,NA,NA,NA,2024,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply) - No, I feared for my personal safety"
CLIM_RPRT_NEMB,Multi Select,selectallthatapply,Program Climate,18,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply)","No, I was too embarrassed to report",NA,2023,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at [Field-CAMPUS]? (select all that apply) - No, I was too embarrassed to report",NA,NA,NA,NA,2024,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply) - No, I was too embarrassed to report"
CLIM_RPRT_NTRU,Multi Select,selectallthatapply,Program Climate,18,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply)","No, I did not trust the process",NA,2023,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at [Field-CAMPUS]? (select all that apply) - No, I did not trust the process",NA,NA,NA,NA,2024,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply) - No, I did not trust the process"
CLIM_RPRT_NACT,Multi Select,selectallthatapply,Program Climate,18,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply)","No, I was not interested in taking action",NA,2023,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at [Field-CAMPUS]? (select all that apply) - No, I was not interested in taking action",NA,NA,NA,NA,2024,"Did you report the instance(s) of bias, discrimination, or harassment to faculty, a staff member, or an administrator at UC Berkeley? (select all that apply) - No, I was not interested in taking action"
FIN_SUPP_FLS,Ratio Scale,matrix,Financial Support,52,Please indicate which of the following is a source of financial support for your graduate education this academic year.,"Fellowship, scholarship",yesno2,2023,"Please indicate which of the following is a source of financial support for your graduate education this academic year. - Fellowship, scholarship",2021,"Please indicate which of the following is a source of financial support for your graduate education this academic year. - Fellowship, scholarship",NA,NA,NA,NA
FIN_SUPP_GRA,Ratio Scale,matrix,Financial Support,52,Please indicate which of the following is a source of financial support for your graduate education this academic year.,Grant,yesno2,2023,Please indicate which of the following is a source of financial support for your graduate education this academic year. - Grant,2021,Please indicate which of the following is a source of financial support for your graduate education this academic year. - Grant,NA,NA,NA,NA
FIN_SUPP_TEA,Ratio Scale,matrix,Financial Support,52,Please indicate which of the following is a source of financial support for your graduate education this academic year.,Teaching assistantship,yesno2,2023,Please indicate which of the following is a source of financial support for your graduate education this academic year. - Teaching assistantship,2021,Please indicate which of the following is a source of financial support for your graduate education this academic year. - Teaching assistantship,NA,NA,NA,NA
FIN_SUPP_REA,Ratio Scale,matrix,Financial Support,52,Please indicate which of the following is a source of financial support for your graduate education this academic year.,Research assistantship,yesno2,2023,Please indicate which of the following is a source of financial support for your graduate education this academic year. - Research assistantship,2021,Please indicate which of the following is a source of financial support for your graduate education this academic year. - Research assistantship,NA,NA,NA,NA
FIN_SUPP_OTA,Ratio Scale,matrix,Financial Support,52,Please indicate which of the following is a source of financial support for your graduate education this academic year.,Other assistantship,yesno2,2023,Please indicate which of the following is a source of financial support for your graduate education this academic year. - Other assistantship,2021,Please indicate which of the following is a source of financial support for your graduate education this academic year. - Other assistantship,NA,NA,NA,NA
